transaction_id,customer_id,receiver_id, amount ,transaction_date,transaction_time,device_type,status,is_fraud,day_type
TXN00001,CUST0155,RECV0071,620.29,10-02-2026,08:05:23,IOS,SUCCESSFUL,0,Weekday
TXN00002,CUST0085,RECV0079,6097.33,14-01-2026,13:41:05,ANDROID,SUCCESSFUL,0,Weekday
TXN00003,CUST0110,RECV0012,1150.04,03-05-2026,14:00:00,WEB,SUCCESSFUL,0,Weekend
TXN00004,CUST0217,RECV0087,5659.69,27-06-2026,03:20:23,ANDROID,SUCCESSFUL,1,Weekend
TXN00005,CUST0196,RECV0037,439.06,04-02-2026,00:39:41,WEB,SUCCESSFUL,0,Weekday
TXN00006,CUST0110,RECV0106,1003.87,10-06-2026,06:05:57,IOS,SUCCESSFUL,0,Weekday
TXN00007,CUST0197,RECV0081,2214.23,31-03-2026,08:41:05,ANDROID,SUCCESSFUL,0,Weekday
TXN00008,CUST0146,RECV0026,318.04,26-06-2026,16:38:32,ANDROID,SUCCESSFUL,0,Weekday
TXN00009,CUST0152,RECV0148,306.36,15-06-2026,07:31:40,ANDROID,SUCCESSFUL,0,Weekday
TXN00010,CUST0007,RECV0034,6334.23,03-04-2026,13:23:34,WEB,SUCCESSFUL,0,Weekday
TXN00011,CUST0038,RECV0004,2306.92,05-01-2026,01:50:25,ANDROID,SUCCESSFUL,0,Weekday
TXN00012,CUST0257,RECV0103,125.48,17-04-2026,17:39:09,WEB,SUCCESSFUL,0,Weekday
TXN00013,CUST0041,RECV0040,965.95,11-05-2026,18:40:48,IOS,SUCCESSFUL,0,Weekday
TXN00014,CUST0034,RECV0062,1794.46,21-03-2026,03:29:39,IOS,SUCCESSFUL,1,Weekend
TXN00015,CUST0090,RECV0141,2502.94,31-01-2026,15:22:33,ANDROID,SUCCESSFUL,0,Weekend
TXN00016,CUST0133,RECV0069,569.89,12-02-2026,00:21:51,ANDROID,SUCCESSFUL,0,Weekday
TXN00017,CUST0033,RECV0148,416.75,09-03-2026,14:32:23,IOS,SUCCESSFUL,0,Weekday
TXN00018,CUST0086,RECV0087,201.8,05-04-2026,23:07:14,WEB,SUCCESSFUL,0,Weekend
TXN00019,CUST0023,RECV0088,1056.5,04-01-2026,05:59:54,ANDROID,FAILED,0,Weekend
TXN00020,CUST0215,RECV0125,2149.44,27-02-2026,08:52:04,IOS,SUCCESSFUL,0,Weekday
TXN00021,CUST0258,RECV0046,157.92,22-06-2026,01:25:04,WEB,SUCCESSFUL,0,Weekday
TXN00022,CUST0160,RECV0088,8540.3,25-03-2026,09:47:39,WEB,SUCCESSFUL,1,Weekday
TXN00023,CUST0253,RECV0140,1101.25,20-02-2026,04:00:59,ANDROID,SUCCESSFUL,0,Weekday
TXN00024,CUST0178,RECV0003,543.48,12-06-2026,21:24:54,ANDROID,SUCCESSFUL,0,Weekday
TXN00025,CUST0054,RECV0061,227.44,22-02-2026,04:45:17,ANDROID,SUCCESSFUL,0,Weekend
TXN00026,CUST0212,RECV0118,413.51,29-06-2026,18:06:32,ANDROID,SUCCESSFUL,0,Weekday
TXN00027,CUST0039,RECV0112,4959.4,01-06-2026,07:18:16,ANDROID,SUCCESSFUL,0,Weekday
TXN00028,CUST0168,RECV0060,1880.35,23-03-2026,04:49:49,ANDROID,SUCCESSFUL,0,Weekday
TXN00029,CUST0055,RECV0081,1358.8,12-02-2026,11:49:13,WEB,SUCCESSFUL,0,Weekday
TXN00030,CUST0136,RECV0026,5750.83,31-01-2026,01:13:53,WEB,SUCCESSFUL,1,Weekend
TXN00031,CUST0047,RECV0102,1079.82,05-03-2026,09:16:52,WEB,SUCCESSFUL,0,Weekday
TXN00032,CUST0208,RECV0141,5834.92,26-04-2026,03:00:03,ANDROID,SUCCESSFUL,1,Weekend
TXN00033,CUST0067,RECV0096,138.01,20-02-2026,02:37:37,WEB,SUCCESSFUL,0,Weekday
TXN00034,CUST0012,RECV0026,1552.63,17-01-2026,02:57:54,ANDROID,SUCCESSFUL,0,Weekend
TXN00035,CUST0063,RECV0013,955.69,11-01-2026,12:31:01,WEB,SUCCESSFUL,1,Weekend
TXN00036,CUST0089,RECV0141,280.44,01-04-2026,04:02:39,IOS,SUCCESSFUL,0,Weekday
TXN00037,CUST0152,RECV0141,803.06,08-05-2026,08:24:08,ANDROID,SUCCESSFUL,0,Weekday
TXN00038,CUST0128,RECV0140,223.32,11-06-2026,22:22:30,IOS,SUCCESSFUL,0,Weekday
TXN00039,CUST0177,RECV0100,228,25-05-2026,10:38:14,ANDROID,FAILED,0,Weekday
TXN00040,CUST0030,RECV0150,721.61,01-05-2026,03:15:42,ANDROID,SUCCESSFUL,0,Weekday
TXN00041,CUST0029,RECV0100,7048.12,26-02-2026,05:15:37,ANDROID,SUCCESSFUL,0,Weekday
TXN00042,CUST0159,RECV0024,219.4,14-02-2026,16:30:00,ANDROID,SUCCESSFUL,1,Weekend
TXN00043,CUST0104,RECV0141,2644.22,03-02-2026,01:01:09,IOS,SUCCESSFUL,0,Weekday
TXN00044,CUST0057,RECV0019,3010.31,15-05-2026,12:37:06,WEB,SUCCESSFUL,0,Weekday
TXN00045,CUST0070,RECV0112,815.2,10-02-2026,20:20:11,IOS,SUCCESSFUL,0,Weekday
TXN00046,CUST0183,RECV0045,1174.78,27-02-2026,22:18:08,WEB,SUCCESSFUL,0,Weekday
TXN00047,CUST0201,RECV0012,1938.52,26-05-2026,07:40:36,WEB,SUCCESSFUL,0,Weekday
TXN00048,CUST0073,RECV0061,138.65,26-03-2026,05:40:56,IOS,SUCCESSFUL,0,Weekday
TXN00049,CUST0172,RECV0148,5411.82,25-04-2026,11:16:50,ANDROID,SUCCESSFUL,0,Weekend
TXN00050,CUST0025,RECV0108,3969.58,09-04-2026,15:56:24,IOS,SUCCESSFUL,0,Weekday
TXN00051,CUST0052,RECV0148,594.16,03-05-2026,07:10:28,WEB,SUCCESSFUL,0,Weekend
TXN00052,CUST0151,RECV0087,143.09,06-01-2026,05:46:04,IOS,SUCCESSFUL,1,Weekday
TXN00053,CUST0174,RECV0124,4927.27,02-06-2026,20:10:38,IOS,SUCCESSFUL,0,Weekday
TXN00054,CUST0028,RECV0148,1301.41,26-01-2026,23:59:46,WEB,SUCCESSFUL,0,Weekday
TXN00055,CUST0145,RECV0073,1445.32,18-03-2026,15:09:03,WEB,SUCCESSFUL,0,Weekday
TXN00056,CUST0045,RECV0123,2123.42,17-03-2026,06:10:40,ANDROID,SUCCESSFUL,0,Weekday
TXN00057,CUST0243,RECV0125,1772.11,30-01-2026,08:05:41,WEB,SUCCESSFUL,0,Weekday
TXN00058,CUST0050,RECV0139,5246.43,22-01-2026,07:35:03,WEB,SUCCESSFUL,0,Weekday
TXN00059,CUST0215,RECV0122,3684.03,18-05-2026,15:19:05,ANDROID,SUCCESSFUL,0,Weekday
TXN00060,CUST0018,RECV0133,1871.08,09-05-2026,19:09:07,WEB,SUCCESSFUL,0,Weekend
TXN00061,CUST0089,RECV0050,2955.55,12-02-2026,02:43:27,IOS,SUCCESSFUL,0,Weekday
TXN00062,CUST0076,RECV0118,2085.12,02-06-2026,02:24:35,ANDROID,SUCCESSFUL,0,Weekday
TXN00063,CUST0142,RECV0004,1583.3,14-05-2026,18:33:50,WEB,SUCCESSFUL,0,Weekday
TXN00064,CUST0077,RECV0150,297.57,07-02-2026,03:36:49,ANDROID,SUCCESSFUL,0,Weekend
TXN00065,CUST0177,RECV0026,3050.76,16-04-2026,15:02:11,WEB,SUCCESSFUL,0,Weekday
TXN00066,CUST0206,RECV0085,3143.04,10-01-2026,23:30:58,ANDROID,SUCCESSFUL,0,Weekend
TXN00067,CUST0011,RECV0078,1820.01,28-03-2026,22:43:06,IOS,SUCCESSFUL,0,Weekend
TXN00068,CUST0069,RECV0114,3140.91,18-03-2026,08:46:26,IOS,SUCCESSFUL,0,Weekday
TXN00069,CUST0097,RECV0125,1947.33,24-04-2026,11:52:03,WEB,SUCCESSFUL,0,Weekday
TXN00070,CUST0034,RECV0104,466.76,21-03-2026,18:01:11,WEB,SUCCESSFUL,0,Weekend
TXN00071,CUST0030,RECV0073,626.27,05-03-2026,06:17:23,WEB,SUCCESSFUL,0,Weekday
